ksrid lea,agency name,site url,webarchive_url,lea-qid,reference,city,city-qid,latlon,street address,county,county-qid,zip code,lea type
SB978-703,Baldwin Park Police Department,https://www.baldwinparkpolice.com/,https://web.archive.org/web/20230811094303/https://www.baldwinparkpolice.com/,Q120751286,,Baldwin Park,Q804878,"34.08536,-117.9603","14403 E Pacific Avenue Baldwin Park, CA 91706",Los Angeles County,Q104994,91706,Police
SB978-704,Bell Police Department,https://www.cityofbell.org/?NavID=1,https://web.archive.org/web/20130825153531/http://cityofbell.org/?navid=1,Q120751287,,Bell,Q377736,"33.97977,-118.1888","6330 Pine Ave. Bell, California 90201",Los Angeles County,Q104994,90201,Police
SB978-705,Bishop Police Department,https://www.cityofbishop.com/departments/police/,https://web.archive.org/web/20150721005207/http://www.cityofbishop.com/departments/police/,Q23016663,,Bishop,Q852658,"37.3668,-118.3953","377 West Line Street, Bishop, CA 93514",Inyo County,Q109670,93514,Police
SB978-706,Burbank-Glendale-Pasadena Airport Authority Police Department,https://www.hollywoodburbankairport.com/airport-authority/bgpaa-police/,https://web.archive.org/web/20200509135050/https://hollywoodburbankairport.com/airport-authority/bgpaa-police/,Q120751288,,Burbank,Q39561,"34.18182,-118.3078","2627 N Hollywood Way Burbank, CA 91505",Los Angeles County,Q104994,91505,Police
SB978-710,Carmel Police Department,https://ci.carmel.ca.us/,https://web.archive.org/web/20010608065944/http://www.ci.carmel.ca.us/,Q16852283,,Carmel-by-the-Sea,Q625458,"36.55443,-121.9244","Monte Verde St, Carmel-By-The-Sea, CA 93923",Monterey County,Q108072,93921,Police
SB978-711,Cerritos Community College District Police Department,https://www.cerritos.edu/police/default.htm,https://web.archive.org/web/20180319152651/http://www.cerritos.edu/police/default.htm,Q120751564,,Cerritos,Q575316,"33.86866,-118.0637","Corner of Lot 10 & New Falcon Way
11090 New Falcon Way,
Cerritos, CA 90703",Los Angeles County,Q104994,90703,College/University
SB978-714,Coast Community College District Police Department,https://www.goldenwestcollege.edu/public-safety/index.html,https://web.archive.org/web/20200918234132/https://www.goldenwestcollege.edu/public-safety/index.html,Q120751566,,Costa Mesa,Q499196,"33.66389,-117.9024",,Orange County,Q5925,92647,College/University
SB978-715,Compton Community College Police Department,https://www.compton.edu/campus-safety/index.aspx,https://web.archive.org/web/20230513210125/https://www.compton.edu/campus-safety/index.aspx,Q120751567,,Compton,Q487119,"33.89569,-118.2244","Campus Police Building 1111. E. Artesia Blvd Compton CA, 90221",Los Angeles County,Q104994,90221,College/University
SB978-718,Corning Police Department,https://www.corning.org/departments/police-department/,https://web.archive.org/web/20210622003243/https://www.corning.org/departments/police-department/,Q120751568,,Corning,Q2997606,"39.92791,-122.1791","774 Third Street
Corning, CA 96021",Tehama County,Q109705,96021,Police
SB978-719,Crescent City Police Department,https://www.crescentcity.org/departments/Police,https://web.archive.org/web/20210422101349/https://www.crescentcity.org/departments/Police,Q120751290,,Crescent City,Q166866,"41.756111,-124.201667","686 G St.
Crescent City, CA 95531",Del Norte County,Q156186,95531,Police
